No,Topik,pertanyaan,jawaban,Pasal Sumber
1,Fakultas,Apa itu fakultas di universitas?,"Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik, vokasi, dan/atau profesi dalam satu atau beberapa bidang ilmu pengetahuan dan teknologi di Universitas.",Pasal 1 ayat (2)
1,Fakultas,Jelaskan pengertian fakultas!,"Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik, vokasi, dan/atau profesi dalam satu atau beberapa bidang ilmu pengetahuan dan teknologi di Universitas.",Pasal 1 ayat (2)
1,Fakultas,Fakultas itu maksudnya apa ya?,"Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik, vokasi, dan/atau profesi dalam satu atau beberapa bidang ilmu pengetahuan dan teknologi di Universitas.",Pasal 1 ayat (2)
1,Fakultas,Apa fungsi utama fakultas di kampus?,"Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik, vokasi, dan/atau profesi dalam satu atau beberapa bidang ilmu pengetahuan dan teknologi di Universitas.",Pasal 1 ayat (2)
2,Jurusan,Apa itu jurusan atau bagian di universitas?,Jurusan atau Bagian merupakan unit di bawah Fakultas yang mengelola sumber daya akademik dalam lingkup bidang ilmu tertentu.,Pasal 1 ayat (3)
2,Jurusan,Jelaskan apa itu jurusan!,Jurusan atau Bagian merupakan unit di bawah Fakultas yang mengelola sumber daya akademik dalam lingkup bidang ilmu tertentu.,Pasal 1 ayat (3)
2,Jurusan,Jurusan itu apa ya?,Jurusan atau Bagian merupakan unit di bawah Fakultas yang mengelola sumber daya akademik dalam lingkup bidang ilmu tertentu.,Pasal 1 ayat (3)
2,Jurusan,Fungsi jurusan di fakultas apa aja?,Jurusan atau Bagian merupakan unit di bawah Fakultas yang mengelola sumber daya akademik dalam lingkup bidang ilmu tertentu.,Pasal 1 ayat (3)
3,Program Studi,Apa itu program studi (prodi)?,"Program Studi (prodi) adalah kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum serta metode tertentu dalam jenis pendidikan akademik, profesi, atau vokasi.",Pasal 1 ayat (4)
3,Program Studi,Jelaskan pengertian prodi!,"Program Studi (prodi) adalah kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum serta metode tertentu dalam jenis pendidikan akademik, profesi, atau vokasi.",Pasal 1 ayat (4)
3,Program Studi,Prodi itu apa sih?,"Program Studi (prodi) adalah kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum serta metode tertentu dalam jenis pendidikan akademik, profesi, atau vokasi.",Pasal 1 ayat (4)
3,Program Studi,Apa yang dimaksud dengan program studi di kampus?,"Program Studi (prodi) adalah kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum serta metode tertentu dalam jenis pendidikan akademik, profesi, atau vokasi.",Pasal 1 ayat (4)
4,SKS,Apa itu satuan kredit semester (SKS)?,SKS adalah satuan ukuran waktu kegiatan belajar yang dibebankan kepada mahasiswa per minggu per semester dalam berbagai bentuk pembelajaran.,Pasal 1 ayat (5)
4,SKS,Jelaskan arti SKS dalam perkuliahan!,SKS adalah satuan ukuran waktu kegiatan belajar yang dibebankan kepada mahasiswa per minggu per semester dalam berbagai bentuk pembelajaran.,Pasal 1 ayat (5)
4,SKS,SKS itu maksudnya apa ya?,SKS adalah satuan ukuran waktu kegiatan belajar yang dibebankan kepada mahasiswa per minggu per semester dalam berbagai bentuk pembelajaran.,Pasal 1 ayat (5)
4,SKS,Apa fungsi SKS bagi mahasiswa?,SKS adalah satuan ukuran waktu kegiatan belajar yang dibebankan kepada mahasiswa per minggu per semester dalam berbagai bentuk pembelajaran.,Pasal 1 ayat (5)
5,Nilai Kredit,Apa itu nilai kredit?,Nilai kredit adalah ukuran beban studi mahasiswa dan beban mengajar dosen yang dinyatakan dalam bentuk SKS.,Pasal 1 ayat (6)
5,Nilai Kredit,Jelaskan pengertian nilai kredit dalam kuliah!,Nilai kredit adalah ukuran beban studi mahasiswa dan beban mengajar dosen yang dinyatakan dalam bentuk SKS.,Pasal 1 ayat (6)
5,Nilai Kredit,Nilai kredit itu apa sih?,Nilai kredit adalah ukuran beban studi mahasiswa dan beban mengajar dosen yang dinyatakan dalam bentuk SKS.,Pasal 1 ayat (6)
5,Nilai Kredit,Apa hubungan antara nilai kredit dan SKS?,Nilai kredit adalah ukuran beban studi mahasiswa dan beban mengajar dosen yang dinyatakan dalam bentuk SKS.,Pasal 1 ayat (6)
6,LTA,Apa itu Laporan Tugas Akhir (LTA)?,LTA adalah karya tulis ilmiah yang dihasilkan mahasiswa program vokasi sebagai syarat menyelesaikan studi.,Pasal 1 ayat (7)
6,LTA,Laporan Tugas Akhir itu apa ya?,LTA adalah karya tulis ilmiah yang dihasilkan mahasiswa program vokasi sebagai syarat menyelesaikan studi.,Pasal 1 ayat (7)
6,LTA,Jelaskan pengertian LTA dalam program vokasi!,LTA adalah karya tulis ilmiah yang dihasilkan mahasiswa program vokasi sebagai syarat menyelesaikan studi.,Pasal 1 ayat (7)
6,LTA,Apa fungsi LTA bagi mahasiswa vokasi?,LTA adalah karya tulis ilmiah yang dihasilkan mahasiswa program vokasi sebagai syarat menyelesaikan studi.,Pasal 1 ayat (7)
7,Skripsi,Apa itu skripsi?,Skripsi adalah karya tulis ilmiah hasil penelitian mahasiswa program sarjana sebagai syarat kelulusan.,Pasal 1 ayat (8)
7,Skripsi,Jelaskan apa yang dimaksud skripsi mahasiswa!,Skripsi adalah karya tulis ilmiah hasil penelitian mahasiswa program sarjana sebagai syarat kelulusan.,Pasal 1 ayat (8)
7,Skripsi,Skripsi itu tugas akhir apa ya?,Skripsi adalah karya tulis ilmiah hasil penelitian mahasiswa program sarjana sebagai syarat kelulusan.,Pasal 1 ayat (8)
7,Skripsi,Kenapa mahasiswa harus buat skripsi?,Skripsi adalah karya tulis ilmiah hasil penelitian mahasiswa program sarjana sebagai syarat kelulusan.,Pasal 1 ayat (8)
8,Tesis,Apa itu tesis?,Tesis adalah karya tulis ilmiah hasil penelitian mahasiswa program magister sebagai syarat penyelesaian studi.,Pasal 1 ayat (9)
8,Tesis,Tesis itu apa ya?,Tesis adalah karya tulis ilmiah hasil penelitian mahasiswa program magister sebagai syarat penyelesaian studi.,Pasal 1 ayat (9)
8,Tesis,Jelaskan pengertian tesis magister!,Tesis adalah karya tulis ilmiah hasil penelitian mahasiswa program magister sebagai syarat penyelesaian studi.,Pasal 1 ayat (9)
8,Tesis,Apa tujuan pembuatan tesis untuk mahasiswa S2?,Tesis adalah karya tulis ilmiah hasil penelitian mahasiswa program magister sebagai syarat penyelesaian studi.,Pasal 1 ayat (9)
9,Disertasi,Apa itu disertasi?,Disertasi adalah karya tulis ilmiah hasil penelitian mahasiswa program doktor sebagai syarat kelulusan.,Pasal 1 ayat (10)
9,Disertasi,Jelaskan pengertian disertasi!,Disertasi adalah karya tulis ilmiah hasil penelitian mahasiswa program doktor sebagai syarat kelulusan.,Pasal 1 ayat (10)
9,Disertasi,Disertasi itu tugas akhir apa ya?,Disertasi adalah karya tulis ilmiah hasil penelitian mahasiswa program doktor sebagai syarat kelulusan.,Pasal 1 ayat (10)
9,Disertasi,Apa perbedaan disertasi dengan tesis atau skripsi?,Disertasi adalah karya tulis ilmiah hasil penelitian mahasiswa program doktor sebagai syarat kelulusan.,Pasal 1 ayat (10)
10,Capaian Pembelajaran,Apa itu capaian pembelajaran?,"Capaian pembelajaran adalah kemampuan yang diperoleh melalui internalisasi pengetahuan, sikap, keterampilan, kompetensi, dan pengalaman kerja.",Pasal 1 ayat (11)
10,Capaian Pembelajaran,Jelaskan arti capaian pembelajaran mahasiswa!,"Capaian pembelajaran adalah kemampuan yang diperoleh melalui internalisasi pengetahuan, sikap, keterampilan, kompetensi, dan pengalaman kerja.",Pasal 1 ayat (11)
10,Capaian Pembelajaran,Capaian pembelajaran itu apa ya maksudnya?,"Capaian pembelajaran adalah kemampuan yang diperoleh melalui internalisasi pengetahuan, sikap, keterampilan, kompetensi, dan pengalaman kerja.",Pasal 1 ayat (11)
10,Capaian Pembelajaran,Untuk apa capaian pembelajaran ditetapkan?,"Capaian pembelajaran adalah kemampuan yang diperoleh melalui internalisasi pengetahuan, sikap, keterampilan, kompetensi, dan pengalaman kerja.",Pasal 1 ayat (11)
11,Ijazah,Apa itu ijazah?,Ijazah adalah dokumen resmi yang diberikan kepada lulusan pendidikan akademik atau vokasi sebagai pengakuan atas prestasi belajar dan penyelesaian program studi terakreditasi.,Pasal 1 ayat (12)
11,Ijazah,Jelaskan pengertian ijazah!,Ijazah adalah dokumen resmi yang diberikan kepada lulusan pendidikan akademik atau vokasi sebagai pengakuan atas prestasi belajar dan penyelesaian program studi terakreditasi.,Pasal 1 ayat (12)
11,Ijazah,Ijazah itu maksudnya apa ya?,Ijazah adalah dokumen resmi yang diberikan kepada lulusan pendidikan akademik atau vokasi sebagai pengakuan atas prestasi belajar dan penyelesaian program studi terakreditasi.,Pasal 1 ayat (12)
11,Ijazah,Untuk apa ijazah diberikan kepada mahasiswa?,Ijazah adalah dokumen resmi yang diberikan kepada lulusan pendidikan akademik atau vokasi sebagai pengakuan atas prestasi belajar dan penyelesaian program studi terakreditasi.,Pasal 1 ayat (12)
12,Transkrip Akademik,Apa itu transkrip akademik?,Transkrip akademik adalah kumpulan nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,Pasal 1 ayat (13)
12,Transkrip Akademik,Jelaskan pengertian transkrip nilai!,Transkrip akademik adalah kumpulan nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,Pasal 1 ayat (13)
12,Transkrip Akademik,Transkrip akademik itu apa ya?,Transkrip akademik adalah kumpulan nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,Pasal 1 ayat (13)
12,Transkrip Akademik,Apa fungsi transkrip akademik bagi lulusan?,Transkrip akademik adalah kumpulan nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,Pasal 1 ayat (13)
13,SKPI,Apa itu SKPI (Surat Keterangan Pendamping Ijazah)?,SKPI adalah dokumen yang memuat informasi tentang pemenuhan kompetensi lulusan dalam suatu program pendidikan tinggi.,Pasal 1 ayat (14)
13,SKPI,Jelaskan pengertian SKPI!,SKPI adalah dokumen yang memuat informasi tentang pemenuhan kompetensi lulusan dalam suatu program pendidikan tinggi.,Pasal 1 ayat (14)
13,SKPI,SKPI itu gunanya apa ya?,SKPI adalah dokumen yang memuat informasi tentang pemenuhan kompetensi lulusan dalam suatu program pendidikan tinggi.,Pasal 1 ayat (14)
13,SKPI,Apa manfaat SKPI bagi mahasiswa setelah lulus?,SKPI adalah dokumen yang memuat informasi tentang pemenuhan kompetensi lulusan dalam suatu program pendidikan tinggi.,Pasal 1 ayat (14)
14,Fast Track,Apa itu program Jalur Cepat (Fast Track)?,Program Jalur Cepat adalah program percepatan studi bagi mahasiswa berprestasi untuk menyelesaikan jenjang sarjana dan magister dalam waktu lebih singkat.,Pasal 1 ayat (15)
14,Fast Track,Jelaskan pengertian program Fast Track di UNIB!,Program Jalur Cepat adalah program percepatan studi bagi mahasiswa berprestasi untuk menyelesaikan jenjang sarjana dan magister dalam waktu lebih singkat.,Pasal 1 ayat (15)
14,Fast Track,Apa tujuan dari program Jalur Cepat?,Program Jalur Cepat adalah program percepatan studi bagi mahasiswa berprestasi untuk menyelesaikan jenjang sarjana dan magister dalam waktu lebih singkat.,Pasal 1 ayat (15)
14,Fast Track,Siapa yang bisa ikut program Fast Track?,Program Jalur Cepat adalah program percepatan studi bagi mahasiswa berprestasi untuk menyelesaikan jenjang sarjana dan magister dalam waktu lebih singkat.,Pasal 1 ayat (15)
15,Mata Kuliah Alternatif,Apa itu mata kuliah alternatif?,Mata kuliah alternatif adalah mata kuliah yang dapat diambil mahasiswa di luar program studinya.,Pasal 1 ayat (16)
15,Mata Kuliah Alternatif,Jelaskan pengertian mata kuliah alternatif!,Mata kuliah alternatif adalah mata kuliah yang dapat diambil mahasiswa di luar program studinya.,Pasal 1 ayat (16)
15,Mata Kuliah Alternatif,Mata kuliah alternatif itu maksudnya apa?,Mata kuliah alternatif adalah mata kuliah yang dapat diambil mahasiswa di luar program studinya.,Pasal 1 ayat (16)
15,Mata Kuliah Alternatif,Apakah mahasiswa boleh ambil mata kuliah di luar prodi?,Mata kuliah alternatif adalah mata kuliah yang dapat diambil mahasiswa di luar program studinya.,Pasal 1 ayat (16)
16,Blended Learning,Apa itu blended learning?,Blended learning adalah metode pembelajaran yang menggabungkan kegiatan tatap muka di kelas dengan pembelajaran daring tanpa mengurangi kualitas pembelajaran.,Pasal 1 ayat (17)
16,Blended Learning,Jelaskan pengertian blended learning!,Blended learning adalah metode pembelajaran yang menggabungkan kegiatan tatap muka di kelas dengan pembelajaran daring tanpa mengurangi kualitas pembelajaran.,Pasal 1 ayat (17)
16,Blended Learning,Blended learning itu maksudnya apa ya?,Blended learning adalah metode pembelajaran yang menggabungkan kegiatan tatap muka di kelas dengan pembelajaran daring tanpa mengurangi kualitas pembelajaran.,Pasal 1 ayat (17)
16,Blended Learning,Bagaimana konsep pembelajaran blended learning di UNIB?,Blended learning adalah metode pembelajaran yang menggabungkan kegiatan tatap muka di kelas dengan pembelajaran daring tanpa mengurangi kualitas pembelajaran.,Pasal 1 ayat (17)
17,Mata Kuliah,Apa saja bentuk mata kuliah alternatif di UNIB?,"Bentuk pembelajaran mata kuliah alternatif dapat berupa pertukaran mahasiswa, magang, proyek independen, riset, atau kegiatan lain yang ditetapkan oleh program studi.",Pasal 7 ayat (1)
17,Mata Kuliah,Jelaskan contoh bentuk mata kuliah alternatif!,"Bentuk pembelajaran mata kuliah alternatif dapat berupa pertukaran mahasiswa, magang, proyek independen, riset, atau kegiatan lain yang ditetapkan oleh program studi.",Pasal 7 ayat (1)
17,Mata Kuliah,Bentuk mata kuliah alternatif itu apa aja sih?,"Bentuk pembelajaran mata kuliah alternatif dapat berupa pertukaran mahasiswa, magang, proyek independen, riset, atau kegiatan lain yang ditetapkan oleh program studi.",Pasal 7 ayat (1)
17,Mata Kuliah,Mahasiswa bisa ambil kegiatan apa sebagai mata kuliah alternatif?,"Bentuk pembelajaran mata kuliah alternatif dapat berupa pertukaran mahasiswa, magang, proyek independen, riset, atau kegiatan lain yang ditetapkan oleh program studi.",Pasal 7 ayat (1)
18,SKS Kuliah,Berapa lama satu SKS pada pembelajaran berupa kuliah?,"Satu SKS pada perkuliahan terdiri dari 50 menit tatap muka, 60 menit kegiatan terstruktur, dan 60 menit kegiatan mandiri setiap minggu selama satu semester.",Pasal 9 ayat (2)
18,SKS Kuliah,Jelaskan berapa waktu untuk 1 SKS kuliah!,"Satu SKS pada perkuliahan terdiri dari 50 menit tatap muka, 60 menit kegiatan terstruktur, dan 60 menit kegiatan mandiri setiap minggu selama satu semester.",Pasal 9 ayat (2)
18,SKS Kuliah,Satu SKS kuliah itu berapa jam?,"Satu SKS pada perkuliahan terdiri dari 50 menit tatap muka, 60 menit kegiatan terstruktur, dan 60 menit kegiatan mandiri setiap minggu selama satu semester.",Pasal 9 ayat (2)
18,SKS Kuliah,"Dalam seminggu, berapa lama durasi satu SKS kuliah?","Satu SKS pada perkuliahan terdiri dari 50 menit tatap muka, 60 menit kegiatan terstruktur, dan 60 menit kegiatan mandiri setiap minggu selama satu semester.",Pasal 9 ayat (2)
19,SKS Praktikum,Berapa lama satu SKS pada pembelajaran praktikum?,Satu SKS pada praktikum atau kerja lapangan setara dengan 170 menit kegiatan setiap minggu selama satu semester.,Pasal 9 ayat (3)
19,SKS Praktikum,Jelaskan berapa waktu satu SKS praktikum!,Satu SKS pada praktikum atau kerja lapangan setara dengan 170 menit kegiatan setiap minggu selama satu semester.,Pasal 9 ayat (3)
19,SKS Praktikum,Satu SKS praktikum itu berapa jam per minggu?,Satu SKS pada praktikum atau kerja lapangan setara dengan 170 menit kegiatan setiap minggu selama satu semester.,Pasal 9 ayat (3)
19,SKS Praktikum,Apa perbedaan waktu antara SKS kuliah dan praktikum?,Satu SKS pada praktikum atau kerja lapangan setara dengan 170 menit kegiatan setiap minggu selama satu semester.,Pasal 9 ayat (3)
20,Beban Studi,Apa yang dimaksud dengan beban studi mahasiswa?,"Beban studi mahasiswa ditentukan berdasarkan kurikulum program studi, dengan jumlah SKS yang dapat diambil disesuaikan dengan IP semester sebelumnya.",Pasal 10 ayat (1–2)
20,Beban Studi,Jelaskan pengertian beban studi mahasiswa!,"Beban studi mahasiswa ditentukan berdasarkan kurikulum program studi, dengan jumlah SKS yang dapat diambil disesuaikan dengan IP semester sebelumnya.",Pasal 10 ayat (1–2)
20,Beban Studi,Beban studi itu apa ya maksudnya?,"Beban studi mahasiswa ditentukan berdasarkan kurikulum program studi, dengan jumlah SKS yang dapat diambil disesuaikan dengan IP semester sebelumnya.",Pasal 10 ayat (1–2)
20,Beban Studi,Apa yang memengaruhi jumlah SKS yang bisa diambil mahasiswa?,"Beban studi mahasiswa ditentukan berdasarkan kurikulum program studi, dengan jumlah SKS yang dapat diambil disesuaikan dengan IP semester sebelumnya.",Pasal 10 ayat (1–2)
21,Masa Studi,Berapa lama masa kuliah untuk program vokasi diploma tiga?,"Program vokasi Diploma Tiga memiliki beban studi 108–120 SKS, ditempuh minimal dalam 5 semester dan maksimal 10 semester.",Pasal 10 ayat (3)
21,Masa Studi,Lama kuliah D3 di UNIB berapa semester?,"Program vokasi Diploma Tiga memiliki beban studi 108–120 SKS, ditempuh minimal dalam 5 semester dan maksimal 10 semester.",Pasal 10 ayat (3)
21,Masa Studi,Berapa SKS dan durasi studi untuk diploma tiga?,"Program vokasi Diploma Tiga memiliki beban studi 108–120 SKS, ditempuh minimal dalam 5 semester dan maksimal 10 semester.",Pasal 10 ayat (3)
21,Masa Studi,Berapa lama waktu penyelesaian kuliah D3?,"Program vokasi Diploma Tiga memiliki beban studi 108–120 SKS, ditempuh minimal dalam 5 semester dan maksimal 10 semester.",Pasal 10 ayat (3)
22,Masa Studi,Berapa lama masa kuliah untuk program vokasi diploma empat?,"Program vokasi Diploma Empat memiliki beban studi 144–160 SKS, ditempuh minimal dalam 7 semester dan maksimal 14 semester.",Pasal 10 ayat (4)
22,Masa Studi,Lama studi untuk D4 berapa semester?,"Program vokasi Diploma Empat memiliki beban studi 144–160 SKS, ditempuh minimal dalam 7 semester dan maksimal 14 semester.",Pasal 10 ayat (4)
22,Masa Studi,Berapa total SKS dan durasi kuliah untuk program D4?,"Program vokasi Diploma Empat memiliki beban studi 144–160 SKS, ditempuh minimal dalam 7 semester dan maksimal 14 semester.",Pasal 10 ayat (4)
22,Masa Studi,Butuh waktu berapa lama untuk lulus dari D4?,"Program vokasi Diploma Empat memiliki beban studi 144–160 SKS, ditempuh minimal dalam 7 semester dan maksimal 14 semester.",Pasal 10 ayat (4)
23,Masa Studi,Berapa lama masa kuliah untuk program sarjana?,Program sarjana memiliki beban studi 144–160 SKS dan dapat ditempuh dalam waktu minimal 7 semester dan maksimal 14 semester.,Pasal 10 ayat (5)
23,Masa Studi,Lama studi untuk S1 berapa semester?,Program sarjana memiliki beban studi 144–160 SKS dan dapat ditempuh dalam waktu minimal 7 semester dan maksimal 14 semester.,Pasal 10 ayat (5)
23,Masa Studi,Berapa total SKS dan durasi kuliah untuk sarjana?,Program sarjana memiliki beban studi 144–160 SKS dan dapat ditempuh dalam waktu minimal 7 semester dan maksimal 14 semester.,Pasal 10 ayat (5)
23,Masa Studi,Kira-kira berapa tahun kuliah S1 di UNIB?,Program sarjana memiliki beban studi 144–160 SKS dan dapat ditempuh dalam waktu minimal 7 semester dan maksimal 14 semester.,Pasal 10 ayat (5)
24,Masa Studi,Bagaimana jika mahasiswa tidak dapat menyelesaikan studi dalam batas waktu maksimal?,Mahasiswa yang tidak dapat menyelesaikan studinya dalam batas waktu maksimal akan dinyatakan Drop Out (DO) berdasarkan Surat Keputusan Rektor.,Pasal 10 ayat (9)
24,Masa Studi,Apa yang terjadi kalau mahasiswa melebihi batas waktu kuliah?,Mahasiswa yang tidak dapat menyelesaikan studinya dalam batas waktu maksimal akan dinyatakan Drop Out (DO) berdasarkan Surat Keputusan Rektor.,Pasal 10 ayat (9)
24,Masa Studi,Jika kuliah lebih dari 14 semester apakah masih bisa lanjut?,Mahasiswa yang tidak dapat menyelesaikan studinya dalam batas waktu maksimal akan dinyatakan Drop Out (DO) berdasarkan Surat Keputusan Rektor.,Pasal 10 ayat (9)
24,Masa Studi,Apakah mahasiswa bisa DO jika terlalu lama kuliah?,Mahasiswa yang tidak dapat menyelesaikan studinya dalam batas waktu maksimal akan dinyatakan Drop Out (DO) berdasarkan Surat Keputusan Rektor.,Pasal 10 ayat (9)
25,Transfer Kredit,Mata kuliah apa yang bisa diakui melalui transfer kredit?,"Mata kuliah yang bisa ditransfer adalah yang berasal dari program pertukaran mahasiswa, double degree, joint degree, atau bentuk kegiatan lain yang diakui oleh universitas.",Pasal 11 ayat (2)
25,Transfer Kredit,Jenis mata kuliah apa yang bisa di-transfer?,"Mata kuliah yang bisa ditransfer adalah yang berasal dari program pertukaran mahasiswa, double degree, joint degree, atau bentuk kegiatan lain yang diakui oleh universitas.",Pasal 11 ayat (2)
25,Transfer Kredit,Apa saja kegiatan yang bisa dapat pengakuan transfer kredit?,"Mata kuliah yang bisa ditransfer adalah yang berasal dari program pertukaran mahasiswa, double degree, joint degree, atau bentuk kegiatan lain yang diakui oleh universitas.",Pasal 11 ayat (2)
25,Transfer Kredit,Transfer kredit itu berlaku untuk mata kuliah apa aja?,"Mata kuliah yang bisa ditransfer adalah yang berasal dari program pertukaran mahasiswa, double degree, joint degree, atau bentuk kegiatan lain yang diakui oleh universitas.",Pasal 11 ayat (2)
26,Transfer Kredit,Apa syarat mata kuliah yang bisa di-transfer kreditkan?,"Mata kuliah yang dapat ditransfer harus memiliki kesetaraan materi, mendukung capaian pembelajaran, dan berasal dari program studi terakreditasi.",Pasal 11 ayat (3)
26,Transfer Kredit,Syarat agar mata kuliah bisa diakui lewat transfer kredit apa aja?,"Mata kuliah yang dapat ditransfer harus memiliki kesetaraan materi, mendukung capaian pembelajaran, dan berasal dari program studi terakreditasi.",Pasal 11 ayat (3)
26,Transfer Kredit,Mata kuliah bisa di-transfer kalau memenuhi apa?,"Mata kuliah yang dapat ditransfer harus memiliki kesetaraan materi, mendukung capaian pembelajaran, dan berasal dari program studi terakreditasi.",Pasal 11 ayat (3)
26,Transfer Kredit,Apa ketentuan transfer kredit di UNIB?,"Mata kuliah yang dapat ditransfer harus memiliki kesetaraan materi, mendukung capaian pembelajaran, dan berasal dari program studi terakreditasi.",Pasal 11 ayat (3)
27,Transfer Kredit,Berapa jumlah beban studi yang dapat diakui melalui transfer kredit?,Jumlah SKS yang dapat diakui melalui transfer kredit ditetapkan oleh universitas sesuai kesetaraan capaian pembelajaran.,Pasal 11 ayat (4)
27,Transfer Kredit,Maksimal berapa SKS yang bisa ditransfer?,Jumlah SKS yang dapat diakui melalui transfer kredit ditetapkan oleh universitas sesuai kesetaraan capaian pembelajaran.,Pasal 11 ayat (4)
27,Transfer Kredit,Berapa banyak SKS yang bisa diakui lewat transfer kredit?,Jumlah SKS yang dapat diakui melalui transfer kredit ditetapkan oleh universitas sesuai kesetaraan capaian pembelajaran.,Pasal 11 ayat (4)
27,Transfer Kredit,Siapa yang menentukan jumlah SKS hasil transfer kredit?,Jumlah SKS yang dapat diakui melalui transfer kredit ditetapkan oleh universitas sesuai kesetaraan capaian pembelajaran.,Pasal 11 ayat (4)
