No,Topik,pertanyaan,jawaban,Pasal Sumber
28,Pendaftaran,Bagaimana prosedur pendaftaran mahasiswa baru?,Pendaftaran mahasiswa dilakukan sesuai jadwal dan ketentuan yang ditetapkan oleh universitas melalui jalur seleksi nasional atau mandiri.,Pasal 18
28,Pendaftaran,Bagaimana cara daftar kuliah di UNIB?,Pendaftaran mahasiswa dilakukan sesuai jadwal dan ketentuan yang ditetapkan oleh universitas melalui jalur seleksi nasional atau mandiri.,Pasal 18
28,Pendaftaran,Lewat mana pendaftaran mahasiswa baru dilakukan?,Pendaftaran mahasiswa dilakukan sesuai jadwal dan ketentuan yang ditetapkan oleh universitas melalui jalur seleksi nasional atau mandiri.,Pasal 18
28,Pendaftaran,Jalur apa saja yang tersedia untuk mendaftar ke UNIB?,Pendaftaran mahasiswa dilakukan sesuai jadwal dan ketentuan yang ditetapkan oleh universitas melalui jalur seleksi nasional atau mandiri.,Pasal 18
29,Registrasi,Apa yang terjadi jika mahasiswa tidak terdaftar selama satu atau dua semester?,Mahasiswa yang tidak melakukan registrasi selama dua semester berturut-turut tanpa izin akan dinyatakan kehilangan statusnya sebagai mahasiswa aktif.,Pasal 19 ayat (4)
29,Registrasi,Bagaimana kalau mahasiswa tidak daftar ulang selama dua semester?,Mahasiswa yang tidak melakukan registrasi selama dua semester berturut-turut tanpa izin akan dinyatakan kehilangan statusnya sebagai mahasiswa aktif.,Pasal 19 ayat (4)
29,Registrasi,Apakah status mahasiswa hilang kalau tidak registrasi dua semester?,Mahasiswa yang tidak melakukan registrasi selama dua semester berturut-turut tanpa izin akan dinyatakan kehilangan statusnya sebagai mahasiswa aktif.,Pasal 19 ayat (4)
29,Registrasi,Apa akibat tidak registrasi ulang di kampus?,Mahasiswa yang tidak melakukan registrasi selama dua semester berturut-turut tanpa izin akan dinyatakan kehilangan statusnya sebagai mahasiswa aktif.,Pasal 19 ayat (4)
30,Cuti Akademik,Apa syarat untuk mengajukan cuti akademik?,"Mahasiswa dapat mengajukan cuti akademik dengan surat permohonan yang disetujui oleh Ketua Jurusan/Koordinator Prodi dan Dekan, serta disahkan oleh Rektor.",Pasal 19 ayat (1–2)
30,Cuti Akademik,Bagaimana cara mengajukan cuti kuliah di UNIB?,"Mahasiswa dapat mengajukan cuti akademik dengan surat permohonan yang disetujui oleh Ketua Jurusan/Koordinator Prodi dan Dekan, serta disahkan oleh Rektor.",Pasal 19 ayat (1–2)
30,Cuti Akademik,Syarat mahasiswa untuk bisa cuti kuliah apa aja?,"Mahasiswa dapat mengajukan cuti akademik dengan surat permohonan yang disetujui oleh Ketua Jurusan/Koordinator Prodi dan Dekan, serta disahkan oleh Rektor.",Pasal 19 ayat (1–2)
30,Cuti Akademik,Apakah mahasiswa bisa cuti lebih dari satu semester?,"Mahasiswa dapat mengajukan cuti akademik dengan surat permohonan yang disetujui oleh Ketua Jurusan/Koordinator Prodi dan Dekan, serta disahkan oleh Rektor.",Pasal 19 ayat (1–2)
31,Cuti Akademik,"Setelah cuti, berapa jumlah mata kuliah yang bisa diambil mahasiswa?","Setelah masa cuti berakhir, mahasiswa dapat mengambil mata kuliah sesuai beban studi maksimal berdasarkan IPS terakhir sebelum cuti.",Pasal 19 ayat (5)
31,Cuti Akademik,"Setelah cuti, mahasiswa boleh ambil berapa SKS?","Setelah masa cuti berakhir, mahasiswa dapat mengambil mata kuliah sesuai beban studi maksimal berdasarkan IPS terakhir sebelum cuti.",Pasal 19 ayat (5)
31,Cuti Akademik,Berapa batas SKS setelah mahasiswa kembali dari cuti?,"Setelah masa cuti berakhir, mahasiswa dapat mengambil mata kuliah sesuai beban studi maksimal berdasarkan IPS terakhir sebelum cuti.",Pasal 19 ayat (5)
31,Cuti Akademik,"Setelah cuti kuliah, apakah beban studi mahasiswa dibatasi?","Setelah masa cuti berakhir, mahasiswa dapat mengambil mata kuliah sesuai beban studi maksimal berdasarkan IPS terakhir sebelum cuti.",Pasal 19 ayat (5)
32,Perpindahan Prodi,Apa syarat perpindahan antar program studi di lingkungan UNIB?,Mahasiswa dapat pindah antar program studi dalam lingkungan UNIB dengan alasan akademik atau non-akademik yang dapat dipertanggungjawabkan dan mendapat persetujuan dari pimpinan fakultas terkait.,Pasal 22 ayat (1–3)
32,Perpindahan Prodi,Bagaimana cara pindah prodi di UNIB?,Mahasiswa dapat pindah antar program studi dalam lingkungan UNIB dengan alasan akademik atau non-akademik yang dapat dipertanggungjawabkan dan mendapat persetujuan dari pimpinan fakultas terkait.,Pasal 22 ayat (1–3)
32,Perpindahan Prodi,Apa saja ketentuan untuk berpindah program studi?,Mahasiswa dapat pindah antar program studi dalam lingkungan UNIB dengan alasan akademik atau non-akademik yang dapat dipertanggungjawabkan dan mendapat persetujuan dari pimpinan fakultas terkait.,Pasal 22 ayat (1–3)
32,Perpindahan Prodi,Mahasiswa bisa pindah jurusan nggak sih?,Mahasiswa dapat pindah antar program studi dalam lingkungan UNIB dengan alasan akademik atau non-akademik yang dapat dipertanggungjawabkan dan mendapat persetujuan dari pimpinan fakultas terkait.,Pasal 22 ayat (1–3)
33,SKS,Berapa beban SKS yang dapat diambil mahasiswa berdasarkan IPS?,Jumlah SKS yang dapat diambil mahasiswa pada semester berikutnya ditentukan berdasarkan Indeks Prestasi Semester (IPS) sebelumnya sesuai aturan akademik universitas.,Pasal 23 ayat (1)
33,SKS,Banyaknya SKS tergantung dari apa?,Jumlah SKS yang dapat diambil mahasiswa pada semester berikutnya ditentukan berdasarkan Indeks Prestasi Semester (IPS) sebelumnya sesuai aturan akademik universitas.,Pasal 23 ayat (1)
33,SKS,Apa hubungan IPS dengan jumlah SKS yang bisa diambil?,Jumlah SKS yang dapat diambil mahasiswa pada semester berikutnya ditentukan berdasarkan Indeks Prestasi Semester (IPS) sebelumnya sesuai aturan akademik universitas.,Pasal 23 ayat (1)
33,SKS,Bagaimana menentukan jumlah SKS yang boleh diambil mahasiswa?,Jumlah SKS yang dapat diambil mahasiswa pada semester berikutnya ditentukan berdasarkan Indeks Prestasi Semester (IPS) sebelumnya sesuai aturan akademik universitas.,Pasal 23 ayat (1)
34,KRS,Bagaimana proses pengisian KRS?,"Pengisian KRS dilakukan secara daring sesuai jadwal akademik, dibimbing dan disetujui oleh dosen pembimbing akademik.",Pasal 24 ayat (1–3)
34,KRS,Bagaimana cara isi KRS di UNIB?,"Pengisian KRS dilakukan secara daring sesuai jadwal akademik, dibimbing dan disetujui oleh dosen pembimbing akademik.",Pasal 24 ayat (1–3)
34,KRS,Kapan waktu pengisian KRS dilakukan?,"Pengisian KRS dilakukan secara daring sesuai jadwal akademik, dibimbing dan disetujui oleh dosen pembimbing akademik.",Pasal 24 ayat (1–3)
34,KRS,Siapa yang menyetujui KRS mahasiswa?,"Pengisian KRS dilakukan secara daring sesuai jadwal akademik, dibimbing dan disetujui oleh dosen pembimbing akademik.",Pasal 24 ayat (1–3)
35,SKS,Berapa jumlah SKS untuk mahasiswa semester 1 dan 2?,"Pada semester pertama dan kedua, jumlah SKS yang diambil mahasiswa mengikuti paket kurikulum yang telah ditentukan oleh program studi.",Pasal 23 ayat (2)
35,SKS,Mahasiswa semester awal boleh ambil berapa SKS?,"Pada semester pertama dan kedua, jumlah SKS yang diambil mahasiswa mengikuti paket kurikulum yang telah ditentukan oleh program studi.",Pasal 23 ayat (2)
35,SKS,Kenapa SKS semester 1 dan 2 itu sudah ditentukan?,"Pada semester pertama dan kedua, jumlah SKS yang diambil mahasiswa mengikuti paket kurikulum yang telah ditentukan oleh program studi.",Pasal 23 ayat (2)
35,SKS,Apakah mahasiswa baru boleh ubah paket SKS semester pertama?,"Pada semester pertama dan kedua, jumlah SKS yang diambil mahasiswa mengikuti paket kurikulum yang telah ditentukan oleh program studi.",Pasal 23 ayat (2)
36,KRS,Bagaimana jika dosen pembimbing akademik tidak bisa menyetujui KRS?,"Jika dosen pembimbing akademik berhalangan, persetujuan KRS dapat diberikan oleh pejabat yang ditunjuk oleh Ketua Jurusan atau Koordinator Program Studi.",Pasal 24 ayat (4)
36,KRS,Kalau dosen PA nggak bisa tanda tangan KRS gimana?,"Jika dosen pembimbing akademik berhalangan, persetujuan KRS dapat diberikan oleh pejabat yang ditunjuk oleh Ketua Jurusan atau Koordinator Program Studi.",Pasal 24 ayat (4)
36,KRS,Siapa yang bisa menyetujui KRS kalau PA berhalangan?,"Jika dosen pembimbing akademik berhalangan, persetujuan KRS dapat diberikan oleh pejabat yang ditunjuk oleh Ketua Jurusan atau Koordinator Program Studi.",Pasal 24 ayat (4)
36,KRS,Apa solusi kalau KRS belum disetujui pembimbing akademik?,"Jika dosen pembimbing akademik berhalangan, persetujuan KRS dapat diberikan oleh pejabat yang ditunjuk oleh Ketua Jurusan atau Koordinator Program Studi.",Pasal 24 ayat (4)
37,KRS,Apa yang terjadi jika mahasiswa lupa mengisi KRS atau tidak disetujui PA?,Mahasiswa yang tidak mengisi KRS atau tidak mendapat persetujuan PA dianggap tidak mengikuti kegiatan akademik pada semester tersebut.,Pasal 24 ayat (5)
37,KRS,Apa akibat jika mahasiswa tidak isi KRS?,Mahasiswa yang tidak mengisi KRS atau tidak mendapat persetujuan PA dianggap tidak mengikuti kegiatan akademik pada semester tersebut.,Pasal 24 ayat (5)
37,KRS,Kalau KRS belum disetujui PA apakah tetap bisa kuliah?,Mahasiswa yang tidak mengisi KRS atau tidak mendapat persetujuan PA dianggap tidak mengikuti kegiatan akademik pada semester tersebut.,Pasal 24 ayat (5)
37,KRS,"Lupa isi KRS, apa yang harus dilakukan?",Mahasiswa yang tidak mengisi KRS atau tidak mendapat persetujuan PA dianggap tidak mengikuti kegiatan akademik pada semester tersebut.,Pasal 24 ayat (5)
38,Perubahan Rencana Studi,Apa yang dimaksud dengan perubahan rencana studi?,Perubahan rencana studi adalah proses revisi mata kuliah yang telah diambil dalam KRS karena alasan akademik yang disetujui pembimbing akademik.,Pasal 25 ayat (1)
38,Perubahan Rencana Studi,Apa itu revisi KRS?,Perubahan rencana studi adalah proses revisi mata kuliah yang telah diambil dalam KRS karena alasan akademik yang disetujui pembimbing akademik.,Pasal 25 ayat (1)
38,Perubahan Rencana Studi,Kapan mahasiswa boleh ubah rencana studi?,Perubahan rencana studi adalah proses revisi mata kuliah yang telah diambil dalam KRS karena alasan akademik yang disetujui pembimbing akademik.,Pasal 25 ayat (1)
38,Perubahan Rencana Studi,Kenapa mahasiswa bisa ubah mata kuliah di KRS?,Perubahan rencana studi adalah proses revisi mata kuliah yang telah diambil dalam KRS karena alasan akademik yang disetujui pembimbing akademik.,Pasal 25 ayat (1)
39,Perubahan Rencana Studi,Kapan perubahan rencana studi bisa dilakukan?,Perubahan rencana studi hanya dapat dilakukan pada waktu yang telah dijadwalkan dalam kalender akademik universitas.,Pasal 25 ayat (2)
39,Perubahan Rencana Studi,Jadwal ubah KRS dilakukan kapan?,Perubahan rencana studi hanya dapat dilakukan pada waktu yang telah dijadwalkan dalam kalender akademik universitas.,Pasal 25 ayat (2)
39,Perubahan Rencana Studi,Batas waktu perubahan rencana studi itu kapan?,Perubahan rencana studi hanya dapat dilakukan pada waktu yang telah dijadwalkan dalam kalender akademik universitas.,Pasal 25 ayat (2)
39,Perubahan Rencana Studi,Apakah bisa ubah KRS di luar jadwal?,Perubahan rencana studi hanya dapat dilakukan pada waktu yang telah dijadwalkan dalam kalender akademik universitas.,Pasal 25 ayat (2)
40,Pembimbing Akademik,Apa itu pembimbing akademik (PA)?,Pembimbing Akademik adalah dosen yang ditugaskan untuk memberikan bimbingan akademik kepada mahasiswa dalam perencanaan studi dan pengembangan karier.,Pasal 26 ayat (1)
40,Pembimbing Akademik,Siapa yang disebut pembimbing akademik di UNIB?,Pembimbing Akademik adalah dosen yang ditugaskan untuk memberikan bimbingan akademik kepada mahasiswa dalam perencanaan studi dan pengembangan karier.,Pasal 26 ayat (1)
40,Pembimbing Akademik,Apa tugas dari pembimbing akademik mahasiswa?,Pembimbing Akademik adalah dosen yang ditugaskan untuk memberikan bimbingan akademik kepada mahasiswa dalam perencanaan studi dan pengembangan karier.,Pasal 26 ayat (1)
40,Pembimbing Akademik,Untuk apa mahasiswa punya pembimbing akademik?,Pembimbing Akademik adalah dosen yang ditugaskan untuk memberikan bimbingan akademik kepada mahasiswa dalam perencanaan studi dan pengembangan karier.,Pasal 26 ayat (1)
41,Tugas PA,Apa tugas pembimbing akademik?,"Pembimbing akademik bertugas membimbing mahasiswa dalam penyusunan rencana studi, memberikan arahan akademik, serta membantu menyelesaikan permasalahan akademik mahasiswa.",Pasal 26 ayat (2)
41,Tugas PA,Jelaskan peran dosen pembimbing akademik!,"Pembimbing akademik bertugas membimbing mahasiswa dalam penyusunan rencana studi, memberikan arahan akademik, serta membantu menyelesaikan permasalahan akademik mahasiswa.",Pasal 26 ayat (2)
41,Tugas PA,Apa tanggung jawab pembimbing akademik terhadap mahasiswa?,"Pembimbing akademik bertugas membimbing mahasiswa dalam penyusunan rencana studi, memberikan arahan akademik, serta membantu menyelesaikan permasalahan akademik mahasiswa.",Pasal 26 ayat (2)
41,Tugas PA,Pembimbing akademik biasanya bantu mahasiswa dalam hal apa?,"Pembimbing akademik bertugas membimbing mahasiswa dalam penyusunan rencana studi, memberikan arahan akademik, serta membantu menyelesaikan permasalahan akademik mahasiswa.",Pasal 26 ayat (2)
42,KAS,Apa itu KAS (Kuliah Antar Semester)?,Kuliah Antar Semester (KAS) adalah kegiatan perkuliahan yang dilaksanakan di luar jadwal semester reguler untuk mempercepat penyelesaian studi atau memperbaiki nilai.,Pasal 27 ayat (1)
42,KAS,Jelaskan pengertian kuliah antar semester!,Kuliah Antar Semester (KAS) adalah kegiatan perkuliahan yang dilaksanakan di luar jadwal semester reguler untuk mempercepat penyelesaian studi atau memperbaiki nilai.,Pasal 27 ayat (1)
42,KAS,KAS itu maksudnya apa ya?,Kuliah Antar Semester (KAS) adalah kegiatan perkuliahan yang dilaksanakan di luar jadwal semester reguler untuk mempercepat penyelesaian studi atau memperbaiki nilai.,Pasal 27 ayat (1)
42,KAS,Untuk apa kuliah antar semester diselenggarakan?,Kuliah Antar Semester (KAS) adalah kegiatan perkuliahan yang dilaksanakan di luar jadwal semester reguler untuk mempercepat penyelesaian studi atau memperbaiki nilai.,Pasal 27 ayat (1)
43,KAS,Berapa lama KAS dilaksanakan?,"KAS dilaksanakan paling lama selama dua bulan, menyesuaikan kalender akademik yang ditetapkan universitas.",Pasal 27 ayat (3)
43,KAS,Durasi pelaksanaan KAS berapa lama?,"KAS dilaksanakan paling lama selama dua bulan, menyesuaikan kalender akademik yang ditetapkan universitas.",Pasal 27 ayat (3)
43,KAS,Berapa bulan KAS biasanya diadakan?,"KAS dilaksanakan paling lama selama dua bulan, menyesuaikan kalender akademik yang ditetapkan universitas.",Pasal 27 ayat (3)
43,KAS,KAS berlangsung selama berapa minggu?,"KAS dilaksanakan paling lama selama dua bulan, menyesuaikan kalender akademik yang ditetapkan universitas.",Pasal 27 ayat (3)
44,KAS,Apa syarat untuk bisa mengikuti KAS?,Mahasiswa dapat mengikuti KAS apabila telah menempuh mata kuliah yang sama sebelumnya dan memperoleh nilai tidak lulus atau ingin memperbaiki nilai.,Pasal 27 ayat (4)
44,KAS,Syarat ikut kuliah antar semester apa aja?,Mahasiswa dapat mengikuti KAS apabila telah menempuh mata kuliah yang sama sebelumnya dan memperoleh nilai tidak lulus atau ingin memperbaiki nilai.,Pasal 27 ayat (4)
44,KAS,Mahasiswa yang boleh ikut KAS itu siapa aja?,Mahasiswa dapat mengikuti KAS apabila telah menempuh mata kuliah yang sama sebelumnya dan memperoleh nilai tidak lulus atau ingin memperbaiki nilai.,Pasal 27 ayat (4)
44,KAS,Apakah KAS hanya untuk yang nilainya jelek?,Mahasiswa dapat mengikuti KAS apabila telah menempuh mata kuliah yang sama sebelumnya dan memperoleh nilai tidak lulus atau ingin memperbaiki nilai.,Pasal 27 ayat (4)
45,KAS,Berapa SKS yang dapat diambil pada KAS?,Jumlah SKS yang dapat diambil pada kegiatan KAS maksimal 9 SKS.,Pasal 27 ayat (5)
45,KAS,Mahasiswa boleh ambil berapa SKS saat KAS?,Jumlah SKS yang dapat diambil pada kegiatan KAS maksimal 9 SKS.,Pasal 27 ayat (5)
45,KAS,Batas maksimum SKS kuliah antar semester berapa?,Jumlah SKS yang dapat diambil pada kegiatan KAS maksimal 9 SKS.,Pasal 27 ayat (5)
45,KAS,Apakah ada batas SKS untuk KAS?,Jumlah SKS yang dapat diambil pada kegiatan KAS maksimal 9 SKS.,Pasal 27 ayat (5)
46,KAS,Bagaimana proses pendaftaran KAS?,Pendaftaran KAS dilakukan sesuai jadwal akademik dengan mengisi formulir dan mendapat persetujuan dari dosen pembimbing akademik.,Pasal 27 ayat (2)
46,KAS,Bagaimana cara daftar kuliah antar semester?,Pendaftaran KAS dilakukan sesuai jadwal akademik dengan mengisi formulir dan mendapat persetujuan dari dosen pembimbing akademik.,Pasal 27 ayat (2)
46,KAS,Apa langkah-langkah pendaftaran KAS di UNIB?,Pendaftaran KAS dilakukan sesuai jadwal akademik dengan mengisi formulir dan mendapat persetujuan dari dosen pembimbing akademik.,Pasal 27 ayat (2)
46,KAS,Kapan waktu pendaftaran KAS dibuka?,Pendaftaran KAS dilakukan sesuai jadwal akademik dengan mengisi formulir dan mendapat persetujuan dari dosen pembimbing akademik.,Pasal 27 ayat (2)
47,Kuliah Remedial,Apa itu kuliah remedial?,Kuliah remedial adalah kegiatan perkuliahan yang diselenggarakan untuk memperbaiki nilai mata kuliah yang belum mencapai standar kelulusan.,Pasal 28 ayat (1)
47,Kuliah Remedial,Jelaskan pengertian kuliah remedial!,Kuliah remedial adalah kegiatan perkuliahan yang diselenggarakan untuk memperbaiki nilai mata kuliah yang belum mencapai standar kelulusan.,Pasal 28 ayat (1)
47,Kuliah Remedial,Kuliah remedial itu maksudnya apa ya?,Kuliah remedial adalah kegiatan perkuliahan yang diselenggarakan untuk memperbaiki nilai mata kuliah yang belum mencapai standar kelulusan.,Pasal 28 ayat (1)
47,Kuliah Remedial,Tujuan dari kuliah remedial itu apa?,Kuliah remedial adalah kegiatan perkuliahan yang diselenggarakan untuk memperbaiki nilai mata kuliah yang belum mencapai standar kelulusan.,Pasal 28 ayat (1)
48,Kuliah Tutorial,Apa itu kuliah tutorial?,Kuliah tutorial adalah kegiatan bimbingan tambahan antara dosen dan mahasiswa untuk memperdalam pemahaman materi kuliah tertentu.,Pasal 28 ayat (2)
48,Kuliah Tutorial,Jelaskan apa yang dimaksud kuliah tutorial!,Kuliah tutorial adalah kegiatan bimbingan tambahan antara dosen dan mahasiswa untuk memperdalam pemahaman materi kuliah tertentu.,Pasal 28 ayat (2)
48,Kuliah Tutorial,Kuliah tutorial itu kegiatan seperti apa?,Kuliah tutorial adalah kegiatan bimbingan tambahan antara dosen dan mahasiswa untuk memperdalam pemahaman materi kuliah tertentu.,Pasal 28 ayat (2)
48,Kuliah Tutorial,Apa perbedaan kuliah tutorial dengan kuliah biasa?,Kuliah tutorial adalah kegiatan bimbingan tambahan antara dosen dan mahasiswa untuk memperdalam pemahaman materi kuliah tertentu.,Pasal 28 ayat (2)
49,Kuliah Remedial,Dalam kondisi apa mahasiswa dapat mengikuti kuliah remedial?,"Mahasiswa dapat mengikuti kuliah remedial jika memperoleh nilai D atau E, atau belum mencapai batas kelulusan minimal sesuai ketentuan program studi.",Pasal 28 ayat (3)
49,Kuliah Remedial,Kapan mahasiswa bisa ikut kuliah remedial?,"Mahasiswa dapat mengikuti kuliah remedial jika memperoleh nilai D atau E, atau belum mencapai batas kelulusan minimal sesuai ketentuan program studi.",Pasal 28 ayat (3)
49,Kuliah Remedial,Nilai berapa yang membuat mahasiswa wajib remedial?,"Mahasiswa dapat mengikuti kuliah remedial jika memperoleh nilai D atau E, atau belum mencapai batas kelulusan minimal sesuai ketentuan program studi.",Pasal 28 ayat (3)
49,Kuliah Remedial,Apakah boleh remedial jika nilai sudah C?,"Mahasiswa dapat mengikuti kuliah remedial jika memperoleh nilai D atau E, atau belum mencapai batas kelulusan minimal sesuai ketentuan program studi.",Pasal 28 ayat (3)
50,Kelas Internasional,Apa itu kelas internasional?,Kelas internasional adalah program perkuliahan yang menggunakan bahasa asing (biasanya bahasa Inggris) dan melibatkan kerja sama dengan universitas luar negeri.,Pasal 29 ayat (1)
50,Kelas Internasional,Jelaskan pengertian kelas internasional di UNIB!,Kelas internasional adalah program perkuliahan yang menggunakan bahasa asing (biasanya bahasa Inggris) dan melibatkan kerja sama dengan universitas luar negeri.,Pasal 29 ayat (1)
50,Kelas Internasional,Kelas internasional itu seperti apa?,Kelas internasional adalah program perkuliahan yang menggunakan bahasa asing (biasanya bahasa Inggris) dan melibatkan kerja sama dengan universitas luar negeri.,Pasal 29 ayat (1)
50,Kelas Internasional,Apa yang membedakan kelas internasional dengan reguler?,Kelas internasional adalah program perkuliahan yang menggunakan bahasa asing (biasanya bahasa Inggris) dan melibatkan kerja sama dengan universitas luar negeri.,Pasal 29 ayat (1)
51,Kelas Internasional,Apa syarat penyelenggaraan kelas internasional?,Kelas internasional dapat diselenggarakan jika program studi memiliki dosen dan sarana pendukung yang memadai serta mendapat izin dari Rektor.,Pasal 29 ayat (2)
51,Kelas Internasional,Syarat agar prodi bisa buka kelas internasional apa aja?,Kelas internasional dapat diselenggarakan jika program studi memiliki dosen dan sarana pendukung yang memadai serta mendapat izin dari Rektor.,Pasal 29 ayat (2)
51,Kelas Internasional,Apa ketentuan untuk membuka kelas internasional di UNIB?,Kelas internasional dapat diselenggarakan jika program studi memiliki dosen dan sarana pendukung yang memadai serta mendapat izin dari Rektor.,Pasal 29 ayat (2)
51,Kelas Internasional,Siapa yang berwenang menetapkan kelas internasional?,Kelas internasional dapat diselenggarakan jika program studi memiliki dosen dan sarana pendukung yang memadai serta mendapat izin dari Rektor.,Pasal 29 ayat (2)
52,Kelas Internasional,Apa yang didapat oleh lulusan kelas internasional?,Lulusan kelas internasional akan memperoleh ijazah dan transkrip akademik dalam dua bahasa (Indonesia dan Inggris).,Pasal 29 ayat (3)
52,Kelas Internasional,Apa keuntungan ikut kelas internasional?,Lulusan kelas internasional akan memperoleh ijazah dan transkrip akademik dalam dua bahasa (Indonesia dan Inggris).,Pasal 29 ayat (3)
52,Kelas Internasional,Lulusan kelas internasional dapat ijazah apa?,Lulusan kelas internasional akan memperoleh ijazah dan transkrip akademik dalam dua bahasa (Indonesia dan Inggris).,Pasal 29 ayat (3)
52,Kelas Internasional,Apakah lulusan kelas internasional dapat sertifikat tambahan?,Lulusan kelas internasional akan memperoleh ijazah dan transkrip akademik dalam dua bahasa (Indonesia dan Inggris).,Pasal 29 ayat (3)
53,Kelas Internasional,Bagaimana kurikulum kelas internasional diatur?,Kurikulum kelas internasional disusun berdasarkan standar nasional pendidikan tinggi dan kesepakatan kerja sama dengan perguruan tinggi mitra luar negeri.,Pasal 29 ayat (4)
53,Kelas Internasional,Apa dasar penyusunan kurikulum kelas internasional?,Kurikulum kelas internasional disusun berdasarkan standar nasional pendidikan tinggi dan kesepakatan kerja sama dengan perguruan tinggi mitra luar negeri.,Pasal 29 ayat (4)
53,Kelas Internasional,Kelas internasional pakai kurikulum dari mana?,Kurikulum kelas internasional disusun berdasarkan standar nasional pendidikan tinggi dan kesepakatan kerja sama dengan perguruan tinggi mitra luar negeri.,Pasal 29 ayat (4)
